Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
Level of Filteration,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Level of Filteration,Level of Filteration,,,,,,WSV,Level of Filteration,,10,0,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
Power Rating,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Power Rating,Power Rating,,,,,,WSV,Power Rating,,1,0,200,,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
Registerable,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Registerable,,,,,,,WSV,Registerable,,1,0,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
Type,STRING,1,0,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Type,,,,,,,WSV,Type,,10,0,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes,,TRUE,FALSE
WSV CFM Image URL,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV CFM Image URL,WSV CFM Image URL,,,,,,WSV,WSV CFM Image URL,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL1,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL1,WSV Image URL1,,,,,,WSV,WSV Image URL1,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL2,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL2,WSV Image URL2,,,,,,WSV,WSV Image URL2,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL3,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL3,WSV Image URL3,,,,,,WSV,WSV Image URL3,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL4,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL4,WSV Image URL4,,,,,,WSV,WSV Image URL4,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL5,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL5,WSV Image URL5,,,,,,WSV,WSV Image URL5,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
WSV Image URL6,STRING,1,0,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,WSV Image URL6,WSV Image URL6,,,,,,WSV,WSV Image URL6,,1,0,254,,Attribute_Dictionary_Descriptive_Attributes_WSV_Image_URLs_WSV_Image_URLs,,TRUE,FALSE
EMR Application,STRING,1,1,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Application,EMR Application,,,,,,EMR,Application,TRUE,50,,2000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,Application Attribute Lookup Table,TRUE,TRUE
EMR Access Portal CTA,STRING,2,1000,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Access Portal,EMR Access Portal CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 1,STRING,1,1000,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-1,EMR Certification Badge 1,,,,,,EMR,Cert Badge 1,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Features,STRING,2,1000,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Features,EMR Features,,,,,,EMR,,TRUE,12,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 1 Label,STRING,2,1000,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 1 Label,,,,,,EMR,Generic Spec 1 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 2,STRING,1,1001,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-2,EMR Certification Badge 2,,,,,,EMR,Cert Badge 2,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 1 Value,STRING,2,1001,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 1 Value,,,,,,EMR,Generic Spec 1 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 3,STRING,1,1002,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-3,EMR Certification Badge 3,,,,,,EMR,Cert Badge 3,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 2 Label,STRING,2,1002,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 2 Label,,,,,,EMR,Generic Spec 2 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Access Portal,STRING,2,1002,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Access Portal,EMR Utility Belt_Access Portal,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 4,STRING,1,1003,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-4,EMR Certification Badge 4,,,,,,EMR,Cert Badge 4,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 2 Value,STRING,2,1003,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 2 Value,,,,,,EMR,Generic Spec 2 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 5,STRING,1,1004,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-5,EMR Certification Badge 5,,,,,,EMR,Cert Badge 5,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Check Availablity CTA,STRING,2,1004,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Check Availability,EMR Check Availablity CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 3 Label,STRING,2,1004,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 3 Label,,,,,,EMR,Generic Spec 3 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Certification Badge 6,STRING,1,1005,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Certification Badge-6,EMR Certification Badge 6,,,,,,EMR,Cert Badge 6,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Check Order Status CTA,STRING,2,1005,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Check Order Status,EMR Check Order Status CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 3 Value,STRING,2,1005,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 3 Value,,,,,,EMR,Generic Spec 3 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Buy Now,STRING,2,1005,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Buy Now,EMR Utility Belt_Buy Now,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Configure CTA,STRING,2,1006,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Configure,EMR Configure CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 4 Label,STRING,2,1006,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 4 Label,,,,,,EMR,Generic Spec 4 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Calculate,STRING,2,1006,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Calculate,EMR Utility Belt_Calculate,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Consult an Expert CTA,STRING,2,1007,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Consult an Expert,EMR Consult an Expert CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 4 Value,STRING,2,1007,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 4 Value,,,,,,EMR,Generic Spec 4 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Check Order Status,STRING,2,1007,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Check Order Status,EMR Utility Belt_Check Order Status,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Contact Sales CTA,STRING,2,1008,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Sales,EMR Contact Sales CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 5 Label,STRING,2,1008,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 5 Label,,,,,,EMR,Generic Spec 5 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Click to Chat,STRING,2,1008,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Chat Now,EMR Utility Belt_Click to Chat,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Contact Us CTA,STRING,2,1009,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Us,EMR Contact Us CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 5 Value,STRING,2,1009,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 5 Value,,,,,,EMR,Generic Spec 5 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Configure,STRING,2,1009,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Configure,EMR Utility Belt_Configure,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 6 Label,STRING,2,1010,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 6 Label,,,,,,EMR,Generic Spec 6 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Contact Local Partner,STRING,2,1010,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Local Partner,EMR Utility Belt_Contact Local Partner,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Download Drawing CTA,STRING,2,1011,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Download Drawing,EMR Download Drawing CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 6 Value,STRING,2,1011,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 6 Value,,,,,,EMR,Generic Spec 6 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Contact Sales,STRING,2,1011,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Sales,EMR Utility Belt_Contact Sales,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Download Software CTA,STRING,2,1012,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Download Software,EMR Download Software CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 7 Label,STRING,2,1012,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 7 Label,,,,,,EMR,Generic Spec 7 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Contact Service,STRING,2,1012,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Service,EMR Utility Belt_Contact Service,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 7 Value,STRING,2,1013,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 7 Value,,,,,,EMR,Generic Spec 7 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Learn About CTA,STRING,2,1013,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Learn About,EMR Learn About CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Contact Support,STRING,2,1013,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Support,EMR Utility Belt_Contact Support,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 8 Label,STRING,2,1014,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 8 Label,,,,,,EMR,Generic Spec 8 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Contact Us,STRING,2,1014,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Contact Us,EMR Utility Belt_Contact Us,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 8 Value,STRING,2,1015,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 8 Value,,,,,,EMR,Generic Spec 8 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Request Quote CTA,STRING,2,1015,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Request Quote,EMR Request Quote CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 9 Label,STRING,2,1016,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 9 Label,,,,,,EMR,Generic Spec 9 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Select CTA,STRING,2,1016,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Select,EMR Select CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Download Software,STRING,2,1016,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Download Software,EMR Utility Belt_Download Software,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 9 Value,STRING,2,1017,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 9 Value,,,,,,EMR,Generic Spec 9 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Size CTA,STRING,2,1017,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Size,EMR Size CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 10 Label,STRING,2,1018,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 10 Label,,,,,,EMR,Generic Spec 10 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Find a Store,STRING,2,1018,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Find a Store,EMR Utility Belt_Find a Store,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 10 Value,STRING,2,1019,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 10 Value,,,,,,EMR,Generic Spec 10 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Register Product,STRING,2,1019,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Register Product,EMR Utility Belt_Register Product,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 11 Label,STRING,2,1020,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 11 Label,,,,,,EMR,Generic Spec 11 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR View Courses CTA,STRING,2,1020,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,View Courses,EMR View Courses CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 11 Value,STRING,2,1021,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 11 Value,,,,,,EMR,Generic Spec 11 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Request Quote,STRING,2,1021,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Request Quote,EMR Utility Belt_Request Quote,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 12 Label,STRING,2,1022,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 12 Label,,,,,,EMR,Generic Spec 12 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Select,STRING,2,1022,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Select,EMR Utility Belt_Select,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Where to Buy CTA,STRING,2,1022,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Where to Buy,EMR Where to Buy CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Email Us CTA,STRING,2,1023,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Email Us,EMR Email Us CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 12 Value,STRING,2,1023,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 12 Value,,,,,,EMR,Generic Spec 12 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Find Product Information CTA,STRING,2,1024,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Find Product Information,EMR Find Product Information CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 13 Label,STRING,2,1024,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 13 Label,,,,,,EMR,Generic Spec 13 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Utility Belt_Visit our Blog,STRING,2,1024,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Visit our Blog,EMR Utility Belt_Visit our Blog,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 13 Value,STRING,2,1025,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Value,EMR Generic Spec 13 Value,,,,,,EMR,Generic Spec 13 Value,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Watch Video CTA,STRING,2,1025,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Watch Video,EMR Watch Video CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Generic Spec 14 Label,STRING,2,1026,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Label,EMR Generic Spec 14 Label,,,,,,EMR,Generic Spec 14 Label,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
