Identifier,LanguageId,ValueIdentifier,Sequence,Value,ValueUsage,AttributeValueField1,AttributeValueField3,Image1,Image2,Field1,Field2,Field3,Delete
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_15_ValueID,,Renovation,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_8_ValueID,,Day Cleaning,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_28_ValueID,,Detail Cleaning,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_1_ValueID,,Floor Stripping,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_27_ValueID,,Remediation/Restoration,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_22_ValueID,,Blower Hard Surface,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_19_ValueID,,Drying Wet Rugs and Carpet,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_38_ValueID,,Branding,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_31_ValueID,,Clean Rooms,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_9_ValueID,,Dusting,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_35_ValueID,,Wet Pick Up,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_23_ValueID,,Stairs,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_37_ValueID,,Walk Off Mats,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_26_ValueID,,Display,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_39_ValueID,,Air Circulation,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_40_ValueID,,Air Drying,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_10_ValueID,,Restoration,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_41_ValueID,,Computer Labs,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_42_ValueID,,Dry Pick Up,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_44_ValueID,,Flood Clean Up,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_43_ValueID,,Drywall,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_45_ValueID,,Lead Paint Renovation,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_46_ValueID,,Medical Facilities ,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_ProTeam_Attributes_ProTeam_Attributes_Application_47_ValueID,,Sawdust,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_2_ValueID,1,Automotive,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_4_ValueID,3,Home Improvement/Remodeling,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_5_ValueID,4,Basement/Shop,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_6_ValueID,5,Garage/Patio,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_3_ValueID,2,Job Site,1,,,,,,,,
Application,-1,Attribute_Dictionary_Descriptive_Attributes_VAC_Attributes_VAC_Attributes_Application_1_ValueID,0,Flooding/Emergencies,1,,,,,,,,
EMR Access Valve,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Access_Valve_0_ValueID,0,Yes,1,,,,,,,,
EMR Access Valve,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Access_Valve_1_ValueID,1,No,1,,,,,,,,
EMR Access Valve,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Access_Valve_2_ValueID,2,Null,1,,,,,,,,
EMR Activation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Activation_0_ValueID,0,Electrically,1,,,,,,,,
EMR Activation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Activation_1_ValueID,1,Pneumatically,1,,,,,,,,
EMR Activation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Activation_2_ValueID,2,Manual,1,,,,,,,,
EMR Activation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Activation_3_ValueID,3,Mechanical,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_0_ValueID,0,Double-acting,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_1_ValueID,1,Spring-return,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_2_ValueID,2,Quarter-turn,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_3_ValueID,3,Part-turn,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_4_ValueID,4,Multi-turn,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_5_ValueID,5,Rotary,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_6_ValueID,6,Linear,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_7_ValueID,7,Pneumatic,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_9_ValueID,9,Servo,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_10_ValueID,10,Manual,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_11_ValueID,11,Air Operated,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_12_ValueID,12,Electro-Hydraulic,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_13_ValueID,13,Lever,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_14_ValueID,14,Manual Reset,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_15_ValueID,15,Motorized,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_16_ValueID,16,Pedal,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_17_ValueID,17,Pneumatic - Air Pilot,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_18_ValueID,18,Proportional,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_19_ValueID,19,Push Button,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_20_ValueID,20,Solenoid,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_21_ValueID,21,Solenoid - Air Pilot,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_22_ValueID,22,Solenoid - Direct Acting,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_23_ValueID,23,Solenoid - Magnetic Latching,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_24_ValueID,24,Solenoid - Pilot Operated,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_25_ValueID,25,Hand Wheel,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_26_ValueID,26,Pneumatic - Latching,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_27_ValueID,27,Pressure Operated,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_28_ValueID,28,Roller,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_29_ValueID,29,Solenoid - Latching,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_30_ValueID,30,Fail-Safe,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_31_ValueID,31,Electrically,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_32_ValueID,32,Mechanical,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_33_ValueID,33,Hydraulic,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_34_ValueID,34,Double Air Pilot,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_35_ValueID,35,Double Solenoid,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_36_ValueID,36,Double Solenoid - Dominating,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_37_ValueID,37,Electrically and Pneumatically�Operated,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_38_ValueID,38,Single Air Pilot,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_39_ValueID,39,Single or Double Solenoid,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_40_ValueID,40,Single Solenoid,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_41_ValueID,41,Ball,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_42_ValueID,42,Button,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_43_ValueID,43,"Button, with detent",1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_44_ValueID,44,Hand lever,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_45_ValueID,45,"Hand lever, with detent",1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_46_ValueID,46,Handwheel,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_47_ValueID,47,Mushroom button,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_48_ValueID,48,Plunger,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_49_ValueID,49,Rotary knob,1,,,,,,,,
EMR Actuation,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Actuation_50_ValueID,50,Rotary switch,1,,,,,,,,
EMR Adjustable cushioning,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Adjustable_cushioning_0_ValueID,0,non-adjustable,1,,,,,,,,
EMR Adjustable cushioning,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Adjustable_cushioning_1_ValueID,1,adjustable,1,,,,,,,,
EMR Adjustable cushioning,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Adjustable_cushioning_2_ValueID,2,self-compensating,1,,,,,,,,
EMR Adjustable cushioning,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Adjustable_cushioning_3_ValueID,3,adjustable (optional),1,,,,,,,,
EMR Air Preparation Accessory Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Accessory_Types_0_ValueID,0,Replacement filter elements,1,,,,,,,,
EMR Air Preparation Accessory Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Accessory_Types_1_ValueID,1,Drip legs,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_0_ValueID,0,Filters,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_1_ValueID,1,Regulators,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_2_ValueID,2,Precision regulators,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_3_ValueID,3,Lubricators,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_4_ValueID,4,Filter-regulators,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_5_ValueID,5,Dryers,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_6_ValueID,6,Lockout & shut off valves,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_7_ValueID,7,Lockout valves,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_8_ValueID,8,Shut-off valves,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_9_ValueID,9,Slow start & quick-exhaust valves,1,,,,,,,,
EMR Air Preparation Type,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Preparation_Type_10_ValueID,10,Distributors,1,,,,,,,,
EMR Air Restricted,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Restricted_0_ValueID,0,TRUE,1,,,,,,,,
EMR Air Restricted,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Air_Restricted_1_ValueID,1,FALSE,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_0_ValueID,0,6,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_1_ValueID,1,10,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_2_ValueID,2,15,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_3_ValueID,3,16,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_4_ValueID,4,17,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_5_ValueID,5,20,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_6_ValueID,6,30,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_7_ValueID,7,32,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_8_ValueID,8,60,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_9_ValueID,9,63,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_10_ValueID,10,80,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_11_ValueID,11,100,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_12_ValueID,12,125,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_13_ValueID,13,150,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_14_ValueID,14,200,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_15_ValueID,15,400,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_16_ValueID,16,Not Applicable,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_17_ValueID,17,"Varies by contacts, wire size, load, temperature",1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_18_ValueID,18,250,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_19_ValueID,19,500,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_20_ValueID,20,1000,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_21_ValueID,21,2000,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_22_ValueID,22,3000,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_23_ValueID,23,4000,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_24_ValueID,24,5000,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_25_ValueID,25,5,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_26_ValueID,26,70,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_27_ValueID,27,300,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_28_ValueID,28,0.23A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_29_ValueID,29,0.3A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_30_ValueID,30,0.41A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_31_ValueID,31,0.43A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_32_ValueID,32,0.45A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_33_ValueID,33,0.54A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_34_ValueID,34,0.6A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_35_ValueID,35,1.0A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_36_ValueID,36,1.2A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_37_ValueID,37,1.25A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_38_ValueID,38,1.5A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_39_ValueID,39,2.0A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_40_ValueID,40,5.5A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_41_ValueID,41,7.4A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_42_ValueID,42,8A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_43_ValueID,43,9A,1,,,,,,,,
EMR Amperage,-1,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes_EMR_Amperage_44_ValueID,44,10A,1,,,,,,,,
