AttributeIdentifier,AttributeGroupIdentifier,ParentStoreIdentifier,Sequence,Delete
EMR Group1SpecLabel,FAN-SpecificationGroup,EmersonCAS,51,0
EMR Group1SpecValue,FAN-SpecificationGroup,EmersonCAS,52,0
EMR Group2Header,FAN-SpecificationGroup2,EmersonCAS,0,0
EMR Group2SpecLabel,FAN-SpecificationGroup2,EmersonCAS,1,0
EMR Group2SpecValue,FAN-SpecificationGroup2,EmersonCAS,2,0
EMR Group3Header,FAN-SpecificationGroup3,EmersonCAS,0,0
EMR Group3SpecLabel,FAN-SpecificationGroup3,EmersonCAS,1,0
EMR Group3SpecValue,FAN-SpecificationGroup3,EmersonCAS,2,0
EMR Group4Header,FAN-SpecificationGroup4,EmersonCAS,0,0
EMR Group4SpecLabel,FAN-SpecificationGroup4,EmersonCAS,1,0
EMR Group4SpecValue,FAN-SpecificationGroup4,EmersonCAS,2,0
EMR TabSequence,FAN-TabAndContentGroup,EmersonCAS,0,0
EMR Training CTA,FAN-TrainingServicesGroup,EmersonCAS,17,0
EMR Utility Belt_Access Portal,FAN-UtilityBeltGroup,EmersonCAS,0,0
EMR Utility Belt_Buy Now,FAN-UtilityBeltGroup,EmersonCAS,1,0
EMR Utility Belt_Calculate,FAN-UtilityBeltGroup,EmersonCAS,2,0
EMR Utility Belt_Check Order Status,FAN-UtilityBeltGroup,EmersonCAS,3,0
EMR Utility Belt_Configure,FAN-UtilityBeltGroup,EmersonCAS,4,0
EMR Utility Belt_Contact Local Partner,FAN-UtilityBeltGroup,EmersonCAS,5,0
EMR Utility Belt_Contact Sales,FAN-UtilityBeltGroup,EmersonCAS,6,0
EMR Utility Belt_Contact Service,FAN-UtilityBeltGroup,EmersonCAS,7,0
EMR Utility Belt_Contact Support,FAN-UtilityBeltGroup,EmersonCAS,8,0
EMR Utility Belt_Contact Us,FAN-UtilityBeltGroup,EmersonCAS,9,0
EMR Utility Belt_Download Software,FAN-UtilityBeltGroup,EmersonCAS,10,0
EMR Utility Belt_Find a Store,FAN-UtilityBeltGroup,EmersonCAS,11,0
EMR Utility Belt_Register Product,FAN-UtilityBeltGroup,EmersonCAS,12,0
EMR Utility Belt_Request Quote,FAN-UtilityBeltGroup,EmersonCAS,13,0
EMR Utility Belt_Select,FAN-UtilityBeltGroup,EmersonCAS,14,0
EMR Utility Belt_Where to Buy,FAN-UtilityBeltGroup,EmersonCAS,15,0
EMR Utility Belt_Visit our Blog,FAN-UtilityBeltGroup,EmersonCAS,16,0
EMR Utility Belt_Click to Chat,FAN-UtilityBeltGroup,EmersonCAS,17,0
EMR Utility Belt_Cross Reference and Product Information,FAN-UtilityBeltGroup,EmersonCAS,18,0
EMR Utility Belt_MyEmerson Sign In,FAN-UtilityBeltGroup,EmersonCAS,19,0
EMR Utility Belt_Select Online,FAN-UtilityBeltGroup,EmersonCAS,20,0
EMR Utility Belt_Controls Navigator,FAN-UtilityBeltGroup,EmersonCAS,21,0
